Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Mar 7 2022,7:00p,Atlanta Hawks,110,Detroit Pistons,113,Box Score,OT,14942,
Mon Mar 7 2022,7:00p,Chicago Bulls,106,Philadelphia 76ers,121,Box Score,,20381,
Mon Mar 7 2022,7:30p,Houston Rockets,106,Miami Heat,123,Box Score,,19600,
Mon Mar 7 2022,8:00p,Portland Trail Blazers,81,Minnesota Timberwolves,124,Box Score,,16035,
Mon Mar 7 2022,8:30p,Utah Jazz,103,Dallas Mavericks,111,Box Score,,20077,
Mon Mar 7 2022,8:30p,Los Angeles Lakers,110,San Antonio Spurs,117,Box Score,,18354,
Mon Mar 7 2022,9:00p,Golden State Warriors,124,Denver Nuggets,131,Box Score,,19542,
Mon Mar 7 2022,10:30p,New York Knicks,131,Sacramento Kings,115,Box Score,,14720,
Tue Mar 8 2022,7:00p,Brooklyn Nets,132,Charlotte Hornets,121,Box Score,,17230,
Tue Mar 8 2022,7:00p,Cleveland Cavaliers,127,Indiana Pacers,124,Box Score,,14066,
Tue Mar 8 2022,7:00p,Phoenix Suns,102,Orlando Magic,99,Box Score,,14024,
Tue Mar 8 2022,7:30p,New Orleans Pelicans,111,Memphis Grizzlies,132,Box Score,,16433,
Tue Mar 8 2022,8:00p,Milwaukee Bucks,142,Oklahoma City Thunder,115,Box Score,,15743,
Tue Mar 8 2022,10:00p,Los Angeles Clippers,97,Golden State Warriors,112,Box Score,,18064,
Wed Mar 9 2022,7:00p,Boston Celtics,115,Charlotte Hornets,101,Box Score,,18086,
Wed Mar 9 2022,7:00p,Chicago Bulls,114,Detroit Pistons,108,Box Score,,18022,
Wed Mar 9 2022,7:30p,Phoenix Suns,111,Miami Heat,90,Box Score,,19600,
Wed Mar 9 2022,8:00p,Los Angeles Lakers,130,Houston Rockets,139,Box Score,OT,18055,
Wed Mar 9 2022,8:00p,Atlanta Hawks,115,Milwaukee Bucks,124,Box Score,,17341,
Wed Mar 9 2022,8:00p,Oklahoma City Thunder,102,Minnesota Timberwolves,132,Box Score,,16191,
Wed Mar 9 2022,8:00p,Orlando Magic,108,New Orleans Pelicans,102,Box Score,,15633,
Wed Mar 9 2022,8:30p,New York Knicks,107,Dallas Mavericks,77,Box Score,,20182,
Wed Mar 9 2022,8:30p,Toronto Raptors,119,San Antonio Spurs,104,Box Score,,15121,
Wed Mar 9 2022,10:00p,Denver Nuggets,106,Sacramento Kings,100,Box Score,,14697,
Wed Mar 9 2022,10:00p,Portland Trail Blazers,85,Utah Jazz,123,Box Score,,18306,
Wed Mar 9 2022,10:30p,Washington Wizards,109,Los Angeles Clippers,115,Box Score,,15282,
Thu Mar 10 2022,7:30p,Brooklyn Nets,129,Philadelphia 76ers,100,Box Score,,21408,
Thu Mar 10 2022,10:00p,Golden State Warriors,113,Denver Nuggets,102,Box Score,,19520,
Fri Mar 11 2022,7:00p,Minnesota Timberwolves,110,Orlando Magic,118,Box Score,,14557,
Fri Mar 11 2022,7:30p,Los Angeles Clippers,106,Atlanta Hawks,112,Box Score,,16862,
Fri Mar 11 2022,7:30p,Detroit Pistons,103,Boston Celtics,114,Box Score,,19156,
Fri Mar 11 2022,8:00p,Dallas Mavericks,113,Houston Rockets,100,Box Score,,15060,
Fri Mar 11 2022,8:00p,New York Knicks,114,Memphis Grizzlies,118,Box Score,,17188,
Fri Mar 11 2022,8:00p,Cleveland Cavaliers,105,Miami Heat,117,Box Score,,19600,
Fri Mar 11 2022,8:00p,Charlotte Hornets,142,New Orleans Pelicans,120,Box Score,,16838,
Fri Mar 11 2022,8:30p,Utah Jazz,102,San Antonio Spurs,104,Box Score,,15753,
Fri Mar 11 2022,9:00p,Toronto Raptors,117,Phoenix Suns,112,Box Score,,17071,
Fri Mar 11 2022,10:30p,Washington Wizards,109,Los Angeles Lakers,122,Box Score,,18997,
Sat Mar 12 2022,8:00p,Cleveland Cavaliers,91,Chicago Bulls,101,Box Score,,21727,
Sat Mar 12 2022,8:00p,Minnesota Timberwolves,113,Miami Heat,104,Box Score,,19600,
Sat Mar 12 2022,8:00p,Indiana Pacers,119,San Antonio Spurs,108,Box Score,,14605,
Sat Mar 12 2022,8:30p,Milwaukee Bucks,109,Golden State Warriors,122,Box Score,,18064,
Sat Mar 12 2022,9:00p,Toronto Raptors,127,Denver Nuggets,115,Box Score,,18659,
Sat Mar 12 2022,9:00p,Sacramento Kings,125,Utah Jazz,134,Box Score,,18306,
Sat Mar 12 2022,10:00p,Washington Wizards,118,Portland Trail Blazers,127,Box Score,,17524,
Sun Mar 13 2022,1:00p,New York Knicks,107,Brooklyn Nets,110,Box Score,,18057,
Sun Mar 13 2022,3:00p,Los Angeles Clippers,106,Detroit Pistons,102,Box Score,,19313,
Sun Mar 13 2022,3:30p,Dallas Mavericks,95,Boston Celtics,92,Box Score,,19156,
Sun Mar 13 2022,6:00p,Philadelphia 76ers,116,Orlando Magic,114,Box Score,OT,14444,
Sun Mar 13 2022,7:00p,Indiana Pacers,128,Atlanta Hawks,131,Box Score,,17038,
Sun Mar 13 2022,7:00p,Houston Rockets,105,New Orleans Pelicans,130,Box Score,,15683,
Sun Mar 13 2022,7:00p,Memphis Grizzlies,125,Oklahoma City Thunder,118,Box Score,,17482,
Sun Mar 13 2022,9:00p,Los Angeles Lakers,111,Phoenix Suns,140,Box Score,,17071,
Mon Mar 14 2022,7:00p,Los Angeles Clippers,111,Cleveland Cavaliers,120,Box Score,OT,18742,
Mon Mar 14 2022,7:30p,Portland Trail Blazers,113,Atlanta Hawks,122,Box Score,,16432,
Mon Mar 14 2022,7:30p,Denver Nuggets,114,Philadelphia 76ers,110,Box Score,,21444,
Mon Mar 14 2022,8:00p,Charlotte Hornets,134,Oklahoma City Thunder,116,Box Score,,15810,
Mon Mar 14 2022,8:30p,Minnesota Timberwolves,149,San Antonio Spurs,139,Box Score,,14143,
Mon Mar 14 2022,10:00p,Washington Wizards,112,Golden State Warriors,126,Box Score,,18064,
Mon Mar 14 2022,10:00p,Chicago Bulls,103,Sacramento Kings,112,Box Score,,15943,
Mon Mar 14 2022,10:00p,Milwaukee Bucks,117,Utah Jazz,111,Box Score,,18306,
Mon Mar 14 2022,10:30p,Toronto Raptors,114,Los Angeles Lakers,103,Box Score,,18228,
Tue Mar 15 2022,7:00p,Memphis Grizzlies,135,Indiana Pacers,102,Box Score,,15027,
Tue Mar 15 2022,7:00p,Brooklyn Nets,150,Orlando Magic,108,Box Score,,15282,
